abundance,acres,state,latitude,longitude
4,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
5,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
5,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
1,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
1,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
1,241904,UT,38.2,-111.17
1,241904,UT,38.2,-111.17
1,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
3,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
1,241904,UT,38.2,-111.17
1,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
1,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
1,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
4,26546,SC,33.78,-80.78
5,26546,SC,33.78,-80.78
2,26546,SC,33.78,-80.78
2,26546,SC,33.78,-80.78
4,26546,SC,33.78,-80.78
2,26546,SC,33.78,-80.78
2,26546,SC,33.78,-80.78
1,26546,SC,33.78,-80.78
2,26546,SC,33.78,-80.78
4,26546,SC,33.78,-80.78
4,26546,SC,33.78,-80.78
4,26546,SC,33.78,-80.78
2,26546,SC,33.78,-80.78
2,26546,SC,33.78,-80.78
2,26546,SC,33.78,-80.78
4,26546,SC,33.78,-80.78
4,26546,SC,33.78,-80.78
4,26546,SC,33.78,-80.78
4,26546,SC,33.78,-80.78
2,26546,SC,33.78,-80.78
4,26546,SC,33.78,-80.78
4,26546,SC,33.78,-80.78
2,26546,SC,33.78,-80.78
4,26546,SC,33.78,-80.78
5,183224,OR,42.94,-122.1
5,183224,OR,42.94,-122.1
3,183224,OR,42.94,-122.1
4,183224,OR,42.94,-122.1
2,183224,OR,42.94,-122.1
4,183224,OR,42.94,-122.1
2,183224,OR,42.94,-122.1
2,183224,OR,42.94,-122.1
4,183224,OR,42.94,-122.1
1,183224,OR,42.94,-122.1
2,183224,OR,42.94,-122.1
2,183224,OR,42.94,-122.1
1,183224,OR,42.94,-122.1
4,183224,OR,42.94,-122.1
1,183224,OR,42.94,-122.1
2,183224,OR,42.94,-122.1
4,183224,OR,42.94,-122.1
1,183224,OR,42.94,-122.1
2,183224,OR,42.94,-122.1
4,183224,OR,42.94,-122.1
2,183224,OR,42.94,-122.1
4,183224,OR,42.94,-122.1
2,183224,OR,42.94,-122.1
